username,original_link,link,retweets,stance
DrLoupis,https://www.washingtontimes.com/news/2023/mar/1/vaccines-dont-work-masks-dont-work-everything-gove/,https://twitter.com/DrLoupis/status/1638964209311445001,11914,misleading
RandPaul,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,https://twitter.com/RandPaul/status/1628482055301484547,9774,misleading
stkirsch,https://stevekirsch.substack.com/p/the-debate-is-over-masks-do-not-work,https://twitter.com/stkirsch/status/1620824659112636416,9223,misleading
MichaelPSenger,https://www.zerohedge.com/political/massive-mask-study-shows-little-no-difference-preventing-covid-flu-infection,https://twitter.com/MichaelPSenger/status/1620992293565259776,7962,misleading
aaronsibarium,https://freebeacon.com/coronavirus/this-study-could-be-scientific-nail-in-the-coffin-for-masks/,https://twitter.com/aaronsibarium/status/1622621811799121920,6864,misleading
RobertKennedyJr,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,https://twitter.com/RobertKennedyJr/status/1628403138750193667,6359,misleading
zeynep,https://www.nytimes.com/2023/03/10/opinion/masks-work-cochrane-study.html,https://twitter.com/zeynep/status/1634161449529475072,3281,nuanced_accurate
DC_Draino,https://www.zerohedge.com/political/massive-mask-study-shows-little-no-difference-preventing-covid-flu-infection,https://twitter.com/DC_Draino/status/1621230914700181506,2754,misleading
catturd2,https://www.foxnews.com/health/face-masks-difference-spread-covid-scientific-review,https://twitter.com/catturd2/status/1625461123490217984,2409,misleading
mynbc15,https://mynbc15.com/news/nation-world/study-finds-mask-wearing-likely-makes-little-or-no-difference-regarding-flu-transmission-covid-coronavirus-masking-mandate-health-respiratory-virus,https://twitter.com/mynbc15/status/1621122258931691520,2350,misleading
FoxNews,https://www.foxnews.com/health/face-masks-difference-spread-covid-scientific-review,https://twitter.com/FoxNews/status/1625329008895197187,2307,misleading
CartlandDavid,https://www.washingtontimes.com/news/2023/mar/1/vaccines-dont-work-masks-dont-work-everything-gove/,https://twitter.com/CartlandDavid/status/1637829873644314626,2216,misleading
RandPaul,https://reason.com/2023/02/08/a-scientific-review-shows-the-cdc-grossly-exaggerated-the-evidence-supporting-mask-mandates/,https://twitter.com/RandPaul/status/1623872271776358402,1514,misleading
DrJBhattacharya,https://freebeacon.com/coronavirus/this-study-could-be-scientific-nail-in-the-coffin-for-masks/,https://twitter.com/DrJBhattacharya/status/1622655669030748160,1502,misleading
RandPaul,https://freebeacon.com/coronavirus/this-study-could-be-scientific-nail-in-the-coffin-for-masks/,https://twitter.com/RandPaul/status/1623050330517766144,1455,misleading
healthbyjames,https://reason.com/2023/02/07/masks-covid-dont-work-cochrane-library-review-mandate/,https://twitter.com/healthbyjames/status/1623017549213405188,1357,misleading
luckytran,https://www.theguardian.com/commentisfree/2023/feb/27/dont-believe-those-who-claim-science-proves-masks-dont-work,https://twitter.com/luckytran/status/1630267280138403852,1232,nuanced_accurate
DaAcervo,https://www.washingtontimes.com/news/2023/mar/1/vaccines-dont-work-masks-dont-work-everything-gove/,https://twitter.com/DaAcervo/status/1637876025211101211,1094,misleading
silvano_trotta,https://www.washingtontimes.com/news/2023/mar/1/vaccines-dont-work-masks-dont-work-everything-gove/,https://twitter.com/silvano_trotta/status/1638961418203459586,1084,misleading
v_joron,https://www.washingtontimes.com/news/2023/mar/1/vaccines-dont-work-masks-dont-work-everything-gove/,https://twitter.com/v_joron/status/1638998449327689738,1020,misleading
morgfair,https://www.nytimes.com/2023/03/10/opinion/masks-work-cochrane-study.html,https://twitter.com/morgfair/status/1634448572862332928,958,nuanced_accurate
MeetJess,https://www.theguardian.com/commentisfree/2023/feb/27/dont-believe-those-who-claim-science-proves-masks-dont-work,https://twitter.com/MeetJess/status/1630251572314755073,934,nuanced_accurate
CKellyUAP,https://www.zerohedge.com/political/massive-mask-study-shows-little-no-difference-preventing-covid-flu-infection,https://twitter.com/CKellyUAP/status/1622012506175844352,916,misleading
PeterHotez,https://www.washingtonpost.com/opinions/2023/03/03/face-masks-work-study/,https://twitter.com/PeterHotez/status/1632342707766018055,899,nuanced_accurate
BuckSexton,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,https://twitter.com/BuckSexton/status/1628245279622238209,777,misleading
VPrasadMDMPH,https://vinayprasadmdmph.substack.com/p/the-cochrane-review-on-masks-is-damning,https://twitter.com/VPrasadMDMPH/status/1620993979990036480,716,misleading
P_McCulloughMD,https://disinformationchronicle.substack.com/p/researchers-find-no-evidence-again,https://twitter.com/P_McCulloughMD/status/1623210530008891393,714,misleading
